discipline_title,year,event_title,event_gender,medal_type,participant_type,country_name,season,max_elevation,min_elevation,elevation_span,climate_zone,avg_celsius,isocode,gdp_new
Ski Jumping,2022,Women's NH Individual,Women,BRONZE,Athlete,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Ski Jumping,2022,Men's NH Individual,Men,BRONZE,Athlete,Poland,Winter,2499.0,-2.0,2501.0,CFB,10.6,POL,689763329458.441
Ski Jumping,2022,Men's NH Individual,Men,SILVER,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Ski Jumping,2022,Men's NH Individual,Men,GOLD,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Figure skating,2022,Team Event,Mixed,GOLD,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Team Event,Mixed,SILVER,GameTeam,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Figure skating,2022,Team Event,Mixed,BRONZE,GameTeam,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Figure skating,2022,Pair Skating,Mixed,GOLD,GameTeam,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Figure skating,2022,Pair Skating,Mixed,SILVER,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Pair Skating,Mixed,BRONZE,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Ice Dance,Mixed,GOLD,GameTeam,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Figure skating,2022,Ice Dance,Mixed,SILVER,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Ice Dance,Mixed,BRONZE,GameTeam,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Figure skating,2022,Women Single Skating,Women,GOLD,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Women Single Skating,Women,SILVER,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Figure skating,2022,Women Single Skating,Women,BRONZE,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Figure skating,2022,Men Single Skating,Men,BRONZE,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Figure skating,2022,Men Single Skating,Men,GOLD,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Figure skating,2022,Men Single Skating,Men,SILVER,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Luge,2022,Team Relay,Mixed,GOLD,GameTeam,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Luge,2022,Team Relay,Mixed,SILVER,GameTeam,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Luge,2022,Team Relay,Mixed,BRONZE,GameTeam,Latvia,Winter,312.0,0.0,312.0,DFB,8.07,LVA,40422521943.4418
Luge,2022,Doubles,Open,GOLD,GameTeam,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Luge,2022,Doubles,Open,SILVER,GameTeam,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Luge,2022,Doubles,Open,BRONZE,GameTeam,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Luge,2022,Men's Singles,Men,SILVER,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Luge,2022,Men's Singles,Men,GOLD,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Luge,2022,Men's Singles,Men,BRONZE,Athlete,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Luge,2022,Women's Singles,Women,SILVER,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Luge,2022,Women's Singles,Women,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Luge,2022,Women's Singles,Women,GOLD,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Ice Hockey,2022,Men,Men,GOLD,GameTeam,Finland,Winter,1324.0,0.0,1324.0,DFC,5.64,FIN,281887430795.721
Ice Hockey,2022,Men,Men,SILVER,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Ice Hockey,2022,Men,Men,BRONZE,GameTeam,Slovakia,Winter,2655.0,94.0,2561.0,DFB,10.78,SVK,115584743573.553
Ice Hockey,2022,Women,Women,GOLD,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Ice Hockey,2022,Women,Women,SILVER,GameTeam,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Ice Hockey,2022,Women,Women,BRONZE,GameTeam,Finland,Winter,1324.0,0.0,1324.0,DFC,5.64,FIN,281887430795.721
Biathlon,2022,Men's 12.5km Pursuit,Men,GOLD,Athlete,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Biathlon,2022,Men's 12.5km Pursuit,Men,SILVER,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Men's 12.5km Pursuit,Men,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Biathlon,2022,Mixed Relay 4x6km (W+M),Mixed,GOLD,GameTeam,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Mixed Relay 4x6km (W+M),Mixed,SILVER,GameTeam,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Biathlon,2022,Mixed Relay 4x6km (W+M),Mixed,BRONZE,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Biathlon,2022,Women's 12.5km Mass Start,Women,SILVER,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Women's 12.5km Mass Start,Women,GOLD,Athlete,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Biathlon,2022,Women's 12.5km Mass Start,Women,BRONZE,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Women's 10km Pursuit,Women,SILVER,Athlete,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Biathlon,2022,Women's 10km Pursuit,Women,BRONZE,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Women's 10km Pursuit,Women,GOLD,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Men's 10km Sprint,Men,SILVER,Athlete,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Biathlon,2022,Men's 10km Sprint,Men,GOLD,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Biathlon,2022,Men's 10km Sprint,Men,BRONZE,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
